model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260723,0.9027777777777778,0.8647584973166369,0.9903549382716049,108,6,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260724,0.9270833333333333,0.926693574779099,1.0,96,4,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260727,0.9083333333333333,0.8832762241627059,0.9777777777777777,96,5,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260728,0.9652777777777778,0.9572619132416839,0.96875,120,6,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260729,0.9305555555555556,0.9155167558434244,0.9496527777777778,120,6,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260730,0.875,0.849624060150376,0.9004629629629629,120,6,1
mlp,top_close,single_view,rgb,0.01,1.0,0.6584605796198193,exp_20260731,0.9047619047619048,0.8564593301435407,0.9470899470899472,120,7,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,all_held_out_predictions,0.9332694763729246,0.9235521235521236,0.9550872711792252,888,45,11
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260715,1.0,1.0,1.0,24,1,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260717,0.875,0.873015873015873,1.0,24,1,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260720,1.0,1.0,1.0,24,1,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260721,1.0,1.0,1.0,36,2,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260723,0.9513888888888888,0.9301487572761711,0.9810956790123457,108,6,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260724,1.0,1.0,1.0,96,4,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260727,0.9333333333333333,0.9142857142857144,0.9578703703703704,96,5,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260728,0.9340277777777778,0.9310146593848807,0.9537037037037037,120,6,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260729,0.9444444444444444,0.9321266968325792,0.943287037037037,120,6,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260730,0.8888888888888888,0.8660714285714286,0.9267939814814815,120,6,1
logistic,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260731,0.8650793650793651,0.8480531813865146,0.9037698412698413,120,7,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,all_held_out_predictions,0.9359514687100894,0.9279567866340055,0.9507982120051085,888,45,11
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260715,0.9583333333333333,0.9582608695652174,1.0,24,1,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260717,0.9166666666666667,0.916083916083916,1.0,24,1,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260720,1.0,1.0,1.0,24,1,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260721,1.0,1.0,1.0,36,2,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260723,0.9513888888888888,0.9301487572761711,0.9822530864197532,108,6,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260724,1.0,1.0,1.0,96,4,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260727,0.9333333333333333,0.9142857142857144,0.9145833333333333,96,5,1
