experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,model,camera_group,modality,regret_threshold
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,rbf_svm,left,rgb,0.01
exp_20260723,True,0.9722222222222222,0.96896254430501,0.9918981481481481,0.0010601883871350665,108,6,rbf_svm,left,rgb,0.01
exp_20260724,True,0.8854166666666667,0.8838922484881804,0.9995659722222222,0.0021448939088257206,96,4,rbf_svm,left,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9273148148148148,0.000788254753615264,96,5,rbf_svm,left,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9733796296296297,0.00039383945755213875,120,6,rbf_svm,left,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9618055555555556,0.0014014032742416832,120,6,rbf_svm,left,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.8862847222222222,0.0027711139859976355,120,6,rbf_svm,left,rgb,0.01
exp_20260731,True,0.9345238095238095,0.8987030926252781,0.9811507936507937,0.0009660283313129796,120,7,rbf_svm,left,rgb,0.01
exp_20260715,True,0.9166666666666667,0.916083916083916,1.0,0.001498698530157531,24,1,hist_gradient_boosting,left,rgb,0.01
exp_20260717,True,0.5,0.3333333333333333,1.0,0.023002229936077225,24,1,hist_gradient_boosting,left,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,hist_gradient_boosting,left,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,hist_gradient_boosting,left,rgb,0.01
exp_20260723,True,0.9513888888888888,0.9301487572761711,0.9822530864197531,0.000852216929589414,108,6,hist_gradient_boosting,left,rgb,0.01
exp_20260724,True,0.9791666666666667,0.9791576204950065,1.0,0.0002407968492243043,96,4,hist_gradient_boosting,left,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9120370370370371,0.000788254753615264,96,5,hist_gradient_boosting,left,rgb,0.01
exp_20260728,True,0.9548611111111112,0.9485714285714286,0.9525462962962963,0.0004989653551730573,120,6,hist_gradient_boosting,left,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9369212962962963,0.0014014032742416832,120,6,hist_gradient_boosting,left,rgb,0.01
exp_20260730,True,0.8680555555555556,0.848951048951049,0.9036458333333334,0.003044844061363808,120,6,hist_gradient_boosting,left,rgb,0.01
exp_20260731,True,0.8015873015873016,0.8260239217107648,0.9695767195767195,0.005998696300323745,120,7,hist_gradient_boosting,left,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,mlp,left,rgb,0.01
exp_20260717,True,0.9166666666666667,0.916083916083916,1.0,0.0014457047607558178,24,1,mlp,left,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,mlp,left,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,mlp,left,rgb,0.01
exp_20260723,True,0.9027777777777778,0.8647584973166369,0.9988425925925927,0.0032487150036234667,108,6,mlp,left,rgb,0.01
exp_20260724,True,0.9895833333333333,0.9895822029300054,1.0,0.00010472764556787967,96,4,mlp,left,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9685185185185186,0.000788254753615264,96,5,mlp,left,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9583333333333334,0.00039383945755213875,120,6,mlp,left,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.943287037037037,0.0014014032742416832,120,6,mlp,left,rgb,0.01
exp_20260730,True,0.8819444444444444,0.8578496272036792,0.9221643518518519,0.0030190336602429323,120,6,mlp,left,rgb,0.01
exp_20260731,True,0.8988095238095237,0.8773488481798883,0.9206349206349207,0.0013935474966654147,120,7,mlp,left,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,logistic,left_close,rgb,0.01
exp_20260717,True,0.75,0.7333333333333334,1.0,0.009510780640475761,24,1,logistic,left_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,logistic,left_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,logistic,left_close,rgb,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,1.0,0.0005587550578630757,108,6,logistic,left_close,rgb,0.01
exp_20260724,True,0.9791666666666667,0.9791576204950065,0.9830729166666667,0.0002731267562109568,96,4,logistic,left_close,rgb,0.01
exp_20260727,True,0.9166666666666667,0.893569844789357,0.9476851851851852,0.0009936958520079032,96,5,logistic,left_close,rgb,0.01
exp_20260728,True,0.9131944444444444,0.9131944444444444,0.9615162037037037,0.0010153752136694146,120,6,logistic,left_close,rgb,0.01
exp_20260729,True,0.9444444444444444,0.9321266968325792,0.9195601851851851,0.0013012106282449855,120,6,logistic,left_close,rgb,0.01
exp_20260730,True,0.8854166666666666,0.8657342657342657,0.8729745370370371,0.0026100426918406923,120,6,logistic,left_close,rgb,0.01
exp_20260731,True,0.7909891598915989,0.7157456748667785,0.8218157181571816,0.004451522357653855,118,7,logistic,left_close,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,0.9583333333333333,0.0004217722526858483,24,1,random_forest,left_close,rgb,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,random_forest,left_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,random_forest,left_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,random_forest,left_close,rgb,0.01
exp_20260723,True,0.9791666666666667,0.9693617021276595,0.9984567901234568,0.00021601479288111091,108,6,random_forest,left_close,rgb,0.01
exp_20260724,True,0.9375,0.9374728614850196,0.9583333333333333,0.0010829219567371916,96,4,random_forest,left_close,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9592592592592593,0.000788254753615264,96,5,random_forest,left_close,rgb,0.01
exp_20260728,True,0.8819444444444444,0.8858898398068905,0.9497974537037037,0.0014530402125701367,120,6,random_forest,left_close,rgb,0.01
exp_20260729,True,0.9131944444444444,0.9059762091317045,0.9583333333333334,0.001828662004648696,120,6,random_forest,left_close,rgb,0.01
exp_20260730,True,0.8854166666666666,0.8657342657342657,0.9270833333333333,0.0027787256624863125,120,6,random_forest,left_close,rgb,0.01
exp_20260731,True,0.8292682926829269,0.7570588235294118,0.9383468834688348,0.0039493963237763495,118,7,random_forest,left_close,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,0.9861111111111112,0.0004217722526858483,24,1,rbf_svm,left_close,rgb,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,rbf_svm,left_close,rgb,0.01
