model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
random_forest,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,auroc,0.9577150848765432,0.9337287567515433,0.9779517264660493,10,10
random_forest,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_misclassification_regret,0.0025975512128257566,0.0006674675488969826,0.005605035682806096,10,10
rbf_svm,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8337698412698412,0.6779747023809524,0.9530753968253969,10,10
rbf_svm,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,macro_f1,0.8053792050210923,0.6228079208876018,0.941233214696385,10,10
rbf_svm,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,auroc,0.8135276124338626,0.5802562003968255,0.9747833994708994,10,10
rbf_svm,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_misclassification_regret,0.008034403340875585,0.0007634140847681117,0.01795507629971309,10,10
hist_gradient_boosting,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8808333333333334,0.8100694444444445,0.9412569444444443,10,10
hist_gradient_boosting,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,macro_f1,0.8703680920054868,0.7935407149476948,0.9340044528372703,10,10
hist_gradient_boosting,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,auroc,0.9716087962962963,0.9543747106481482,0.988912181712963,10,10
hist_gradient_boosting,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_misclassification_regret,0.00412127769539222,0.0010761198104088582,0.008067687614939131,10,10
mlp,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_accuracy,0.8837301587301587,0.7871527777777778,0.9486123511904764,10,10
mlp,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,macro_f1,0.852801552035603,0.7248465901896316,0.9358559009477365,10,10
mlp,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,auroc,0.977458664021164,0.9617683531746032,0.9927604166666667,10,10
mlp,extreme,single_view,rgb,0.01,1.0,0.6543440105309346,balanced_misclassification_regret,0.005257915755736938,0.0009000178967951461,0.013201536568970594,10,10
logistic,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9167658730158731,0.8511427895021644,0.9616265331890332,11,11
logistic,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,macro_f1,0.9048027644709232,0.8384472715113935,0.9529174388790402,11,11
logistic,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,auroc,0.9467491444704986,0.9030200747241762,0.9801442649147727,11,11
logistic,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_misclassification_regret,0.0025185943093802747,0.0008119160492111314,0.005260540427320059,11,11
random_forest,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.940458152958153,0.9191314935064935,0.962689393939394,11,11
random_forest,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,macro_f1,0.9320782880969533,0.9074826960582452,0.9574142470987286,11,11
random_forest,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,auroc,0.974487371232163,0.9573592118481442,0.9896872369528619,11,11
random_forest,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_misclassification_regret,0.0014442638818608993,0.0007655417430943449,0.002160008123249291,11,11
rbf_svm,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9495129870129871,0.9281290584415585,0.9708694083694084,11,11
rbf_svm,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,macro_f1,0.9377949857385253,0.9103989441433705,0.9645380990334235,11,11
rbf_svm,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,auroc,0.9594017431257016,0.9302266479903198,0.984350098204265,11,11
rbf_svm,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_misclassification_regret,0.0009347806459466937,0.0004778551289831041,0.001469366253637343,11,11
hist_gradient_boosting,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9306863275613275,0.9082065070346319,0.9522411616161616,11,11
hist_gradient_boosting,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,macro_f1,0.9238305248965782,0.8995001252038581,0.9475698572478372,11,11
hist_gradient_boosting,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,auroc,0.9723280360650154,0.9581411773989899,0.9865222310844055,11,11
hist_gradient_boosting,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_misclassification_regret,0.0017476198884699807,0.0010326630605867256,0.0025363752069238903,11,11
mlp,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_accuracy,0.9498466810966811,0.9282541937229437,0.9720328282828283,11,11
mlp,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,macro_f1,0.9373939087881282,0.9101759670570096,0.9662242125910163,11,11
mlp,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,auroc,0.9686544575216451,0.9513544860810487,0.9845689925670393,11,11
mlp,top_pair,pooled_views,rgb,0.01,1.0,0.6562160484246469,balanced_misclassification_regret,0.0012039143851308232,0.0005383263071912512,0.0019513530245867398,11,11
logistic,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9430099184617258,0.9127871619051966,0.9697285353535353,11,11
logistic,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,macro_f1,0.9365679428646551,0.9054521339792727,0.9652772921380185,11,11
logistic,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,auroc,0.9723076016185956,0.9550167680665846,0.9892361111111111,11,11
logistic,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_misclassification_regret,0.0012333759428726754,0.0005703173153758557,0.0020008834464012347,11,11
random_forest,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9370945904831447,0.9007384747322624,0.9666982323232325,11,11
random_forest,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,macro_f1,0.9307770953310314,0.8940150228663635,0.9624113528592521,11,11
random_forest,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,auroc,0.967279933602254,0.9469246679742962,0.9861673922383559,11,11
random_forest,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_misclassification_regret,0.0014947196574745922,0.0006164053696047748,0.0027399908621895336,11,11
