camera_group,representation,model,training_experiment_count,metric,estimate,lower,upper,held_out_experiment_count
all,handcrafted,rbf_svm,2,fit_predict_seconds,0.028544979787318778,0.02287470032220661,0.0342380600146443,11
all,handcrafted,rbf_svm,2,training_cycle_count,8.424242424242424,7.666666666666666,9.272727272727273,11
all,handcrafted,rbf_svm,2,training_image_count,979.6969696969696,893.6621212121211,1073.7409090909089,11
all,handcrafted,rbf_svm,4,balanced_accuracy,0.9480724457033616,0.9256840578521035,0.9692213023543516,11
all,handcrafted,rbf_svm,4,macro_f1,0.9370622954968509,0.9081063162408717,0.9644367439613095,11
all,handcrafted,rbf_svm,4,auroc,0.9689139148822147,0.9509252092003099,0.9859863466135825,11
all,handcrafted,rbf_svm,4,balanced_misclassification_regret,0.0010036254570165444,0.0005064675916552346,0.001564304573958675,11
all,handcrafted,rbf_svm,4,fit_predict_seconds,0.04523590660678703,0.03710894238692796,0.0542560184649615,11
all,handcrafted,rbf_svm,4,training_cycle_count,14.454545454545457,13.272727272727273,15.81818181818182,11
all,handcrafted,rbf_svm,4,training_image_count,1707.848484848485,1580.7477272727274,1851.6681818181821,11
all,handcrafted,rbf_svm,6,balanced_accuracy,0.9486344904536531,0.9275555304798558,0.9689453360164076,11
all,handcrafted,rbf_svm,6,macro_f1,0.9377758885965758,0.9100507098885733,0.9643764665484753,11
all,handcrafted,rbf_svm,6,auroc,0.9665369838324508,0.947631220872682,0.9847873516925071,11
all,handcrafted,rbf_svm,6,balanced_misclassification_regret,0.0010035619357623487,0.0005259648765876505,0.001537443952477307,11
all,handcrafted,rbf_svm,6,fit_predict_seconds,0.08069867420955702,0.06880781738752072,0.09406268224598589,11
all,handcrafted,rbf_svm,6,training_cycle_count,23.727272727272727,22.484090909090906,24.90909090909091,11
all,handcrafted,rbf_svm,6,training_image_count,2785.060606060606,2653.108333333333,2906.062121212121,11
all,handcrafted,rbf_svm,8,balanced_accuracy,0.9494904081764972,0.9280685252117232,0.9706289380217628,11
all,handcrafted,rbf_svm,8,macro_f1,0.9379737087668548,0.9098480770157178,0.96505189005264,11
all,handcrafted,rbf_svm,8,auroc,0.9635498214149397,0.9426118537755831,0.9839943664503522,11
all,handcrafted,rbf_svm,8,balanced_misclassification_regret,0.001020414039849062,0.0004936984870784981,0.0015897580025384076,11
all,handcrafted,rbf_svm,8,fit_predict_seconds,0.1233496590910804,0.10574583724817124,0.14164991675925467,11
all,handcrafted,rbf_svm,8,training_cycle_count,31.90909090909091,30.60606060606061,33.36363636363637,11
all,handcrafted,rbf_svm,8,training_image_count,3744.3939393939395,3590.8750000000005,3917.3681818181817,11
all,handcrafted,rbf_svm,10,balanced_accuracy,0.9506936060471916,0.9301756871923083,0.9707807239057239,11
all,handcrafted,rbf_svm,10,macro_f1,0.9389933766493218,0.9122559193575505,0.9649979129883897,11
all,handcrafted,rbf_svm,10,auroc,0.962582219946016,0.9411739465107677,0.9836962593940085,11
all,handcrafted,rbf_svm,10,balanced_misclassification_regret,0.0009692781143382724,0.0004682929019903351,0.0015255560643191953,11
all,handcrafted,rbf_svm,10,fit_predict_seconds,0.19063608709257096,0.1700183662854463,0.2129979949209056,11
all,handcrafted,rbf_svm,10,training_cycle_count,40.90909090909091,39.63636363636363,42.18409090909088,11
all,handcrafted,rbf_svm,10,training_image_count,4808.181818181818,4667.15,4954.561363636364,11
extreme,handcrafted,hist_gradient_boosting,2,balanced_accuracy,0.8297387566137566,0.7413105985449735,0.9000733300264548,10
extreme,handcrafted,hist_gradient_boosting,2,macro_f1,0.8040580085962024,0.6896176671501691,0.8911873893180846,10
extreme,handcrafted,hist_gradient_boosting,2,auroc,0.9166143996178718,0.8766446621472662,0.9565459541262493,10
extreme,handcrafted,hist_gradient_boosting,2,balanced_misclassification_regret,0.005754930677461316,0.0021342241611433483,0.011004666961246133,10
extreme,handcrafted,hist_gradient_boosting,2,fit_predict_seconds,0.2959344736649655,0.1961409505813208,0.41005667410167596,10
extreme,handcrafted,hist_gradient_boosting,2,training_cycle_count,8.466666666666667,7.666666666666667,9.333333333333332,10
extreme,handcrafted,hist_gradient_boosting,2,training_image_count,161.6,146.8,177.6,10
extreme,handcrafted,hist_gradient_boosting,4,balanced_accuracy,0.8759854497354496,0.8335311673280421,0.9156565806878305,10
extreme,handcrafted,hist_gradient_boosting,4,macro_f1,0.8659899153743288,0.8149273522604101,0.9112343509096483,10
extreme,handcrafted,hist_gradient_boosting,4,auroc,0.951051541372722,0.9214662445803938,0.9756842252718989,10
extreme,handcrafted,hist_gradient_boosting,4,balanced_misclassification_regret,0.003367575594715279,0.0015465265778463254,0.005771280484609304,10
extreme,handcrafted,hist_gradient_boosting,4,fit_predict_seconds,0.9849068722328715,0.837375814624805,1.1235538862434136,10
extreme,handcrafted,hist_gradient_boosting,4,training_cycle_count,13.7,12.466666666666667,15.233333333333334,10
extreme,handcrafted,hist_gradient_boosting,4,training_image_count,266.8,244.0,294.4,10
extreme,handcrafted,hist_gradient_boosting,6,balanced_accuracy,0.879996693121693,0.8139565972222221,0.9347399966931217,10
extreme,handcrafted,hist_gradient_boosting,6,macro_f1,0.8692026081805795,0.7926312040211552,0.9310995377164035,10
