camera_group,representation,model,held_out_experiment,repeat,training_experiment_count,training_cycle_count,training_image_count,test_image_count,fit_predict_seconds,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret
top,handcrafted,random_forest,exp_20260720,1,4,12,252,24,0.20687354099936783,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,1,4,12,252,24,0.006125582993263379,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,1,4,12,252,24,1.8065689159848262,0.875,0.873015873015873,1.0,0.0027943586475001844
top,handcrafted,mlp,exp_20260720,1,4,12,252,24,0.05487824999727309,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,1,6,24,480,24,0.017799791996367276,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,1,6,24,480,24,0.19087104199570604,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,1,6,24,480,24,0.011311791982734576,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,1,6,24,480,24,4.544854041014332,0.9583333333333333,0.9582608695652174,1.0,0.0009632025832367143
top,handcrafted,mlp,exp_20260720,1,6,24,480,24,0.08088666602270678,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,1,8,37,720,24,0.017762167000910267,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,1,8,37,720,24,0.23023095898679458,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,1,8,37,720,24,0.014817707997281104,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,1,8,37,720,24,5.684766416990897,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260720,1,8,37,720,24,0.07603112500510179,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,2,2,8,156,24,0.011492082994664088,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,2,2,8,156,24,0.19412495801225305,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,2,2,8,156,24,0.005103125004097819,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,2,2,8,156,24,0.6517442080075853,0.9583333333333333,0.9582608695652174,1.0,0.00043294883634766414
top,handcrafted,mlp,exp_20260720,2,2,8,156,24,0.07115995799540542,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,2,4,10,204,24,0.027132834016811103,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,2,4,10,204,24,0.37215729101444595,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,2,4,10,204,24,0.010293958010151982,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,2,4,10,204,24,1.0138955420115963,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260720,2,4,10,204,24,0.036518665991025046,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,2,6,20,408,24,0.01386050001019612,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,2,6,20,408,24,0.21043708399520256,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,2,6,20,408,24,0.006990415975451469,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,2,6,20,408,24,3.911462040996412,0.9583333333333333,0.9582608695652174,1.0,0.00043294883634766414
top,handcrafted,mlp,exp_20260720,2,6,20,408,24,0.0658337909844704,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260720,2,8,31,624,24,0.01795924999169074,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260720,2,8,31,624,24,0.24927675002254546,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260720,2,8,31,624,24,0.01640991700696759,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260720,2,8,31,624,24,5.211702000000514,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260720,2,8,31,624,24,0.06757012501475401,0.9583333333333333,0.9582608695652174,0.9166666666666666,0.005703963617443933
top,handcrafted,logistic,exp_20260721,0,2,11,216,36,0.016749874979723245,0.9375,0.9111111111111111,0.9895833333333334,0.013617020406083001
top,handcrafted,random_forest,exp_20260721,0,2,11,216,36,0.19238579098600894,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260721,0,2,11,216,36,0.007921540993265808,0.9166666666666667,0.8831168831168831,1.0,0.01683403661162176
top,handcrafted,hist_gradient_boosting,exp_20260721,0,2,11,216,36,1.5005585000035353,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260721,0,2,11,216,36,0.03024345898302272,0.9375,0.9111111111111111,1.0,0.0011273226828259078
top,handcrafted,logistic,exp_20260721,0,4,13,264,36,0.012528125022072345,1.0,1.0,1.0,0.0
top,handcrafted,random_forest,exp_20260721,0,4,13,264,36,0.20163666701409966,1.0,1.0,1.0,0.0
top,handcrafted,rbf_svm,exp_20260721,0,4,13,264,36,0.012252458021976054,1.0,1.0,1.0,0.0
top,handcrafted,hist_gradient_boosting,exp_20260721,0,4,13,264,36,2.474884541996289,1.0,1.0,1.0,0.0
top,handcrafted,mlp,exp_20260721,0,4,13,264,36,0.06558154200320132,0.9791666666666667,0.9693617021276595,1.0,0.00022101937024184728
