cycle_name,cycle_stage,method,mode,n,metric_status,noise_ratio,noise_reduction,spike_ratio,spike_reduction,water_bias_kw,water_rmse_offset_kw,energy_error_pct,shortfall_area_error_pct,transient_retention,lag_seconds
frost_cycle_000022,recovery,ewma_tau30s,online,18,available,1.1988846047106747,-0.1988846047106747,0.40178330910425464,0.5982166908957454,2.5894582335822567,3.4351996243497402,9.786863565399193,43.23784029857219,0.5294526025325039,-40.0
frost_cycle_000022,recovery,median30s_ewma30s,online,18,available,1.0883805738550432,-0.08838057385504317,0.29892462947017445,0.7010753705298256,2.7742449498140487,3.4630050855370063,13.011342926796218,51.861834159939114,0.49645898090999196,-40.0
frost_cycle_000022,recovery,savgol_70s,offline,18,available,1.8876190476189911,-0.8876190476189911,0.6068349355179873,0.3931650644820127,2.0692422825926045,3.246772535950091,0.5821643989527979,5.0137793021432815,0.7132440774824824,10.0
frost_cycle_000022,recovery,adaptive_offline,offline,18,available,0.1970075261638675,0.8029924738361325,0.03357848919340186,0.9664215108065981,2.139172905020118,2.4497361147381933,0.5060262546438046,17.27388099330972,0.07081277129773106,-40.0
frost_cycle_000022,recovery,wavelet_offline,offline,18,available,1.3103720100463923,-0.31037201004639225,1.0608721377555759,-0.06087213775557587,2.041419713275456,3.394766949884621,0.007919779971368111,1.7851709294049471,0.8961925921254131,0.0
frost_cycle_000022,recovery,wavelet_monotonic_offline,constrained,18,available,1.3103720100463923,-0.31037201004639225,1.0608721377555759,-0.06087213775557587,2.041419713275456,3.394766949884621,0.007919779971368111,1.7851709294049471,0.8961925921254131,0.0
frost_cycle_000022,recovery,nearly_isotonic_offline,constrained,18,available,1.3103720100463923,-0.31037201004639225,1.0608721377555759,-0.06087213775557587,2.041419713275456,3.394766949884621,0.007919779971368111,1.7851709294049471,0.8961925921254131,0.0
frost_cycle_000022,recovery,robust_monotone_offline,constrained,18,available,1.3103720100463923,-0.31037201004639225,1.0608721377555759,-0.06087213775557587,2.041419713275456,3.394766949884621,0.007919779971368111,1.7851709294049471,0.8961925921254131,0.0
frost_cycle_000022,frost_development,median_centered_60s,offline,327,available,0.4062500000000139,0.5937499999999861,1.0137555982085746,-0.013755598208574638,0.8612255299999974,0.8732191617960802,0.09268886884940881,0.5357241772241937,0.5012650221378945,0.0
frost_cycle_000022,frost_development,ewma_tau30s,online,327,available,1.2937946637462154,-0.29379466374621543,1.0289754675361842,-0.028975467536184185,0.817048228250076,0.7632459931132524,0.7382053498667134,1.503541355957801,0.3724039287546763,0.0
frost_cycle_000022,frost_development,median30s_ewma30s,online,327,available,1.1822537599424001,-0.18225375994240012,1.0329083652253743,-0.032908365225374325,0.7862911812698945,0.7841564236651404,1.057258057350576,2.465376940018561,0.3472903789427086,10.0
frost_cycle_000022,frost_development,savgol_70s,offline,327,available,2.10367063492085,-1.1036706349208498,2.007129147244315,-1.007129147244315,0.8468654692063571,0.8635994418533721,0.00034325579841587334,2.211151724252173,0.7101421213646792,0.0
frost_cycle_000022,frost_development,adaptive_offline,offline,327,available,1.105949381042509,-0.10594938104250895,0.7823665772545232,0.2176334227454768,0.8724289738218212,0.8950486328902466,0.053645574492639785,2.5865080855829623,0.5909637763553106,0.0
frost_cycle_000022,frost_development,wavelet_offline,offline,327,available,1.401192238446718,-0.4011922384467179,0.9546273398683917,0.045372660131608344,0.84493962294464,0.8508815932049419,0.21478554409728162,1.524150622029895,0.583065625800556,0.0
frost_cycle_000022,frost_development,wavelet_monotonic_offline,constrained,327,available,0.0,1.0,0.04426313529092655,0.9557368647090735,0.22638870106052966,1.8408797623859834,17.80531940208427,75.39530852563932,0.0,120.0
frost_cycle_000022,frost_development,nearly_isotonic_offline,constrained,327,available,2.6816090206621424e-05,0.9999731839097934,0.8845969280761303,0.11540307192386967,0.8364416249999977,0.8524049873923266,0.013807607483640584,0.15689164202421108,0.7561669829222017,0.0
frost_cycle_000022,frost_development,robust_monotone_offline,constrained,327,available,0.0,1.0,0.04020507893665042,0.9597949210633496,0.8590789590980066,1.9027846492855647,26.9746324672693,100.0,0.0,-120.0
frost_cycle_000023,recovery,median_centered_60s,offline,131,available,,,1.8898970015387315,-0.8898970015387315,0.7385895999999912,1.175752686957135,0.9808755337690733,,0.43004866180048634,-10.0
frost_cycle_000023,recovery,ewma_tau30s,online,131,available,,,1.1825105001483103,-0.18251050014831027,0.7203315730855921,0.6316291468176582,4.250652738053672,,0.37047691188389387,20.0
frost_cycle_000023,recovery,median30s_ewma30s,online,131,available,,,1.1800034230054584,-0.18000342300545835,0.5497102799999986,0.588687528874865,5.801706962618145,,0.35678565879748486,30.0
frost_cycle_000023,recovery,savgol_70s,offline,131,available,,,1.6841684176339127,-0.6841684176339127,0.7580603890476452,1.0649331077071549,0.00442360435270503,,0.5323170630782733,0.0
frost_cycle_000023,recovery,adaptive_offline,offline,131,available,,,0.9004720850778019,0.09952791492219815,0.797956749692025,0.9143895629957444,0.006098484191754739,,0.5899335826066955,0.0
frost_cycle_000023,recovery,wavelet_offline,offline,131,available,,,1.0028074120853006,-0.0028074120853005535,0.6897127488581329,1.1181275739801801,0.0006230266756084123,,0.9635514782948991,0.0
frost_cycle_000023,recovery,wavelet_monotonic_offline,constrained,131,available,,,1.0028074120853006,-0.0028074120853005535,0.6897127488581329,1.1181275739801801,0.0006230266756084123,,0.9635514782948991,0.0
frost_cycle_000023,recovery,nearly_isotonic_offline,constrained,131,available,,,1.0028074120853006,-0.0028074120853005535,0.6897127488581329,1.1181275739801801,0.0006230266756084123,,0.9635514782948991,0.0
frost_cycle_000023,recovery,robust_monotone_offline,constrained,131,available,,,1.0028074120853006,-0.0028074120853005535,0.6897127488581329,1.1181275739801801,0.0006230266756084123,,0.9635514782948991,0.0
frost_cycle_000023,frost_development,median_centered_60s,offline,298,available,0.49999999999983347,0.5000000000001665,0.2614303959131566,0.7385696040868435,-0.0491874499999998,0.6304395289770505,0.0020009334524787696,0.06286514077581583,0.19759036144578002,0.0
frost_cycle_000023,frost_development,ewma_tau30s,online,298,available,0.8932266440140564,0.10677335598594362,0.16719249734406136,0.8328075026559386,-0.05401774495959266,0.6235434824183348,0.1299296712898924,1.8354673583076544,0.28318741537942754,10.0
frost_cycle_000023,frost_development,median30s_ewma30s,online,298,available,0.7872934211811587,0.21270657881884125,0.12360296023470191,0.876397039765298,-0.06370589956369743,0.6325681032322074,0.20997541784603008,2.424166700257418,0.23156565203256033,20.0
frost_cycle_000023,frost_development,savgol_70s,offline,298,available,1.0595238095234407,-0.05952380952344072,0.24781105290136723,0.7521889470986327,-0.054604118571409455,0.6263000086117099,0.0029561369783469306,0.26662212984212097,0.49215273793587194,0.0
frost_cycle_000023,frost_development,adaptive_offline,offline,298,available,0.48028591889093647,0.5197140811090635,0.03163323268701367,0.9683667673129863,-0.08093711009757865,0.6334299561130077,0.02313293077740628,0.11503620234820447,0.09855586345013227,0.0
frost_cycle_000023,frost_development,wavelet_offline,offline,298,available,0.9617020006121934,0.03829799938780665,0.916286391850588,0.08371360814941198,-0.04403805041177877,0.6249576060194497,0.007317827507937779,0.06934762243708499,0.6857886368583247,0.0
frost_cycle_000023,frost_development,wavelet_monotonic_offline,constrained,298,available,0.0,1.0,0.1687539075211807,0.8312460924788193,-0.047493540508774856,0.6245935719755474,0.009012283199374612,0.4126071834333506,0.015700407913986327,0.0
