representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
mobilenet_v3_small,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.002111564258572262,0.0016886226556348985,0.0025818567941536022,14,12
mobilenet_v3_small,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8230672784666284,0.7924337501056499,0.8538259011527637,14,12
mobilenet_v3_small,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8209531819604666,0.7888739519157346,0.8530063468540939,14,12
mobilenet_v3_small,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9308724736926277,0.9106674364336321,0.95037247956261,14,12
mobilenet_v3_small,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0029283841509458466,0.0017356893094176138,0.004699237814971045,14,12
mobilenet_v3_small,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8274573476928623,0.7998618711275508,0.8521192982453347,14,12
mobilenet_v3_small,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8244644954129612,0.7944027160224947,0.8511216696088987,14,12
mobilenet_v3_small,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9419349907276153,0.923099284921199,0.9580911482145563,14,12
mobilenet_v3_small,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0021714963364029556,0.0017546044471874979,0.002614732503592513,14,12
mobilenet_v3_small,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7885701394578623,0.752808154419433,0.8239589860274322,14,12
mobilenet_v3_small,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.785920403480297,0.7494442299856698,0.8224431991106742,14,12
