representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.8044484702093397,0.8032251160411562,0.9514664241214695,852,1,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7703719135802469,0.7687494052966519,0.9004561978916709,2190,3,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8386574074074075,0.8392759826200332,0.9430009063296101,4140,5,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8331959442122269,0.8329558968235032,0.9575607192762977,4759,6,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.86230523187146,0.8611881063218133,0.9649249923934381,4811,6,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8117432758404393,0.8116738620911526,0.9070768965797038,3540,5,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7265538760388738,0.7221728026684054,0.881126899690566,4488,6,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8311187119955776,0.8159400794558908,0.9427530024997323,4776,6,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7723747146797093,0.7653746467574919,0.9118875355985012,5286,9,1
handcrafted,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.8281922911283376,0.8297266793359773,0.9479687748404775,5004,6,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.7355980937645888,0.7395986044692354,0.893390145065586,44631,62,14
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.6973941157507014,0.6887108994913081,0.8599786836812059,1521,3,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.5575396825396824,0.5544137925138966,0.7652826385826965,1656,2,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.8484802737520128,0.8491047374821828,0.9557284528785646,852,1,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7313595679012345,0.7406287415368314,0.8699979314556856,2190,3,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8068452380952381,0.8066636612734301,0.9313501188026652,4140,5,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.7899698462803776,0.790874689396312,0.9417553887227434,4759,6,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.823362400525158,0.8208990279835447,0.9495641780080795,4811,6,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.7736590634150491,0.7757785320920783,0.8876186747275203,3540,5,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.6833336959325913,0.6856297588556796,0.83991359168903,4488,6,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.7284918002579693,0.7324964716206388,0.9181919425933746,4776,6,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.6638721777468017,0.6702791549083539,0.8836412060126045,5286,9,1
handcrafted,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.6676132285386162,0.6537806477918883,0.9180236876466218,5004,6,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.7819551808316271,0.7820863740579655,0.9097313496602514,44631,62,14
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.7795468748909506,0.7834184631924459,0.927742277247306,1521,3,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.7083333333333334,0.7077533744325347,0.848393523111405,1656,2,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.8995068438003221,0.8997476695259499,0.9769890330027066,852,1,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7176033950617283,0.7170348743047145,0.8668702161004346,2190,3,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8013558201058201,0.8008546091063806,0.9365324686458946,4140,5,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8432759696157323,0.8437685125431487,0.9565873830239613,4759,6,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.8607293900775699,0.8600106826933825,0.9631876346715106,4811,6,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.7791449813136907,0.7793122250939047,0.8856641108399841,3540,5,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.665505688464339,0.6606796174987761,0.8482843528694187,4488,6,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8009858116823292,0.7943762632981176,0.9179797184682505,4776,6,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7602270117496631,0.751665539166185,0.8942939987425098,5286,9,1
dinov2,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.7717709230548379,0.7747327432484696,0.9224808060478078,5004,6,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.8122981823202937,0.8109748823753264,0.9284051485679193,44631,62,14
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.8499459961090129,0.858764371189583,0.9652072176054992,1521,3,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.8587136243386243,0.8589235950789226,0.9648994387492652,1656,2,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.9351348631239936,0.9347744915637929,0.9936873918611026,852,1,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7470493827160495,0.7094835035647447,0.9103152433887551,2190,3,1
