experiment_id,evaluable,recall_before,recall_within,recall_after,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,representation,model,camera_group,modality,regret_threshold
exp_20260715,True,0.8287769784172662,0.5089514066496164,0.9011494252873563,0.7462926034514129,0.7435866868457749,0.8996429151643978,0.011425007780289126,1521,3,efficientnet,mlp,all,rgb,0.01
exp_20260717,True,0.5954861111111112,0.6190476190476191,0.78125,0.6652612433862434,0.6697924018676263,0.8078309672312854,0.022522177176633393,1656,2,efficientnet,mlp,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,efficientnet,mlp,all,rgb,0.01
exp_20260721,True,0.8784722222222222,0.9565217391304348,0.9444444444444444,0.9264794685990339,0.926584985678411,0.9855922094668289,0.002453453157990159,852,1,efficientnet,mlp,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,efficientnet,mlp,all,rgb,0.01
exp_20260724,True,0.8020833333333334,0.5729166666666666,0.5293333333333333,0.6347777777777778,0.6266981596833991,0.7980750585309072,0.008977371795492827,2190,3,efficientnet,mlp,all,rgb,0.01
exp_20260727,True,0.8027777777777778,0.596031746031746,0.9888888888888889,0.7958994708994709,0.794660478638504,0.9321073510679992,0.0022185359018894782,4140,5,efficientnet,mlp,all,rgb,0.01
exp_20260728,True,0.9528857479387515,0.7108843537414966,0.8717787554996858,0.8451829523933113,0.8452207327606702,0.9510227249121602,0.0015183702014098046,4759,6,efficientnet,mlp,all,rgb,0.01
exp_20260729,True,0.9215328467153284,0.80625,0.8847712796757383,0.870851375463689,0.8704568810465351,0.9670253618448564,0.0016413067213967407,4811,6,efficientnet,mlp,all,rgb,0.01
exp_20260730,True,0.8432343234323433,0.6067019400352733,0.847571189279732,0.7658358175824495,0.7633721732456934,0.9095366851589325,0.0028711528051445045,3540,5,efficientnet,mlp,all,rgb,0.01
exp_20260731,True,0.8703703703703703,0.4573002754820937,0.7802721088435374,0.7026475848986671,0.6932222906124553,0.8623059448757524,0.004565158034317449,4488,6,efficientnet,mlp,all,rgb,0.01
exp_20260803,True,0.9197761194029851,0.5636574074074074,0.875,0.7861445089367974,0.773759720513871,0.9096176909672793,0.0021923337224704835,4776,6,efficientnet,mlp,all,rgb,0.01
exp_20260804,True,0.8324958123953099,0.6764705882352942,0.7928436911487758,0.7672700305931266,0.7518806838355457,0.8975556362703335,0.0038429195704360376,5286,9,efficientnet,mlp,all,rgb,0.01
exp_20260805,True,0.8148148148148148,0.6976744186046512,0.8061342592592593,0.772874497559575,0.7759900699289025,0.9209813415668752,0.0036664690109440823,5004,6,efficientnet,mlp,all,rgb,0.01
