representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,front,0.9777018854385412
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left,0.940140968183285
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left,0.9813381069439043
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left,0.9585292624380235
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left_close,0.9926571617503582
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left_close,0.9617298837252479
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left_close,0.97705566484077
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top,0.9942290147477137
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top,0.9886861197033624
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top,0.9820228167962707
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top_close,0.9908570140372394
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top_close,0.9787797564978117
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top_close,0.9705791091929705
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,extreme,0.9926257648528422
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,extreme,0.9931088493582211
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,extreme,0.9941086456473265
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,front,0.9903866071231862
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,front,0.9894700945022624
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,front,0.9903610474985934
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left,0.9830199251477906
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left,0.9780935955795896
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left,0.9843339069924174
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left_close,0.9926494821005304
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left_close,0.992993540905456
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,left_close,0.9930731009264383
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top,0.9926902362881421
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top,0.9926080485774001
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top,0.9919477883876481
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top_close,0.9876006256440578
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top_close,0.9894041699601526
dinov2,dark_60pct,exp_20260730,frost_cycle_000066,top_close,0.9915684653002126
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,extreme,0.9950609737446976
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,extreme,0.992243987119926
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,extreme,0.9928918570393441
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,front,0.9941209757561332
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,front,0.982452746071475
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,front,0.9813685909603751
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left,0.9740632577708968
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left,0.9754460660340147
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left,0.9570355536595513
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left_close,0.994305128441633
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left_close,0.9781221395208146
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left_close,0.9774954286472277
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top,0.9925674817639926
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top,0.9853162022579443
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top,0.9851981903736095
