experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,camera_group,modality,regret_threshold
exp_20260731,False,,,,,13,4,top_close,rgb_time,0.05
exp_20260715,False,,,,,3,1,top_close,rgb,0.1
exp_20260717,False,,,,,4,1,top_close,rgb,0.1
exp_20260720,True,1.0,1.0,1.0,0.0,6,1,top_close,rgb,0.1
exp_20260721,True,1.0,1.0,1.0,0.0,14,2,top_close,rgb,0.1
exp_20260723,False,,,,,34,6,top_close,rgb,0.1
exp_20260724,False,,,,,23,4,top_close,rgb,0.1
exp_20260727,False,,,,,3,3,top_close,rgb,0.1
exp_20260728,False,,,,,1,1,top_close,rgb,0.1
exp_20260731,False,,,,,3,1,top_close,rgb,0.1
exp_20260715,False,,,,,3,1,top_close,time,0.1
exp_20260717,False,,,,,4,1,top_close,time,0.1
exp_20260720,True,1.0,1.0,1.0,0.0,6,1,top_close,time,0.1
exp_20260721,True,0.875,0.9047619047619047,1.0,0.013367412725375187,14,2,top_close,time,0.1
exp_20260723,False,,,,,34,6,top_close,time,0.1
exp_20260724,False,,,,,23,4,top_close,time,0.1
exp_20260727,False,,,,,3,3,top_close,time,0.1
exp_20260728,False,,,,,1,1,top_close,time,0.1
exp_20260731,False,,,,,3,1,top_close,time,0.1
exp_20260715,False,,,,,3,1,top_close,rgb_time,0.1
exp_20260717,False,,,,,4,1,top_close,rgb_time,0.1
exp_20260720,True,1.0,1.0,1.0,0.0,6,1,top_close,rgb_time,0.1
exp_20260721,True,1.0,1.0,1.0,0.0,14,2,top_close,rgb_time,0.1
exp_20260723,False,,,,,34,6,top_close,rgb_time,0.1
exp_20260724,False,,,,,23,4,top_close,rgb_time,0.1
exp_20260727,False,,,,,3,3,top_close,rgb_time,0.1
exp_20260728,False,,,,,1,1,top_close,rgb_time,0.1
exp_20260731,False,,,,,3,1,top_close,rgb_time,0.1
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,left,rgb,0.01
exp_20260717,True,0.9583333333333333,0.9582608695652174,1.0,0.0033159111054257943,24,1,left,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,left,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,left,rgb,0.01
exp_20260723,True,0.9722222222222222,0.96896254430501,0.9918981481481481,0.0010601883871350665,108,6,left,rgb,0.01
exp_20260724,True,0.8854166666666667,0.8838922484881804,0.9995659722222222,0.0021448939088257206,96,4,left,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9273148148148148,0.000788254753615264,96,5,left,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9733796296296297,0.00039383945755213875,120,6,left,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9618055555555556,0.0014014032742416832,120,6,left,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.8862847222222222,0.0027711139859976355,120,6,left,rgb,0.01
exp_20260731,True,0.9345238095238095,0.8987030926252781,0.9811507936507937,0.0009660283313129796,120,7,left,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,left,time,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,left,time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,left,time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,left,time,0.01
exp_20260723,True,0.9027777777777778,0.8647584973166369,0.9945987654320988,0.0032256393172185546,108,6,left,time,0.01
exp_20260724,True,0.78125,0.7702564102564102,0.8793402777777777,0.008305143581957861,96,4,left,time,0.01
exp_20260727,True,0.8583333333333334,0.8563370553700933,0.9435185185185185,0.0016068479568487008,96,5,left,time,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9406828703703703,0.00039383945755213875,120,6,left,time,0.01
exp_20260729,True,0.9409722222222222,0.9317988064791134,0.9890046296296297,0.001259789385936127,120,6,left,time,0.01
exp_20260730,True,0.8506944444444444,0.8391534391534392,0.9230324074074074,0.003170426502841844,120,6,left,time,0.01
exp_20260731,True,0.9404761904761905,0.9073788206236493,0.9662698412698413,0.0008936361683532521,120,7,left,time,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,1.0,0.0004217722526858483,24,1,left,rgb_time,0.01
exp_20260717,True,0.9583333333333333,0.9582608695652174,1.0,0.00042041143510616083,24,1,left,rgb_time,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,left,rgb_time,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,left,rgb_time,0.01
exp_20260723,True,0.9861111111111112,0.9794442329653598,0.9926697530864198,0.00014416562451424696,108,6,left,rgb_time,0.01
exp_20260724,True,0.8854166666666667,0.8838922484881804,0.9978298611111112,0.0021448939088257206,96,4,left,rgb_time,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9370370370370371,0.000788254753615264,96,5,left,rgb_time,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9872685185185186,0.00039383945755213875,120,6,left,rgb_time,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.9730902777777777,0.0014014032742416832,120,6,left,rgb_time,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.8912037037037037,0.0027711139859976355,120,6,left,rgb_time,0.01
exp_20260731,True,0.9226190476190477,0.8815939278937381,0.9821428571428572,0.001189186367548317,120,7,left,rgb_time,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,left,rgb,0.02
exp_20260717,True,1.0,1.0,1.0,0.0,20,1,left,rgb,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,left,rgb,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,left,rgb,0.02
exp_20260723,True,1.0,1.0,1.0,0.0,91,6,left,rgb,0.02
exp_20260724,True,0.8695652173913043,0.8916666666666666,1.0,0.0032214994000411144,65,4,left,rgb,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,left,rgb,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,left,rgb,0.02
exp_20260729,True,0.9509803921568627,0.9318539227677791,0.972403776325345,0.0013893369028592118,78,6,left,rgb,0.02
exp_20260730,True,0.9078947368421053,0.9026086956521739,0.9419504643962848,0.0036523972695165718,72,6,left,rgb,0.02
exp_20260731,True,1.0,1.0,1.0,0.0,78,7,left,rgb,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,left,time,0.02
exp_20260717,True,1.0,1.0,1.0,0.0,20,1,left,time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,left,time,0.02
exp_20260721,True,1.0,1.0,1.0,0.0,32,2,left,time,0.02
exp_20260723,True,0.953125,0.9254098360655738,1.0,0.0017553577270760787,91,6,left,time,0.02
exp_20260724,True,0.8571428571428572,0.8132183908045978,0.8995859213250518,0.00613624078747778,65,4,left,time,0.02
exp_20260727,True,1.0,1.0,1.0,0.0,39,5,left,time,0.02
exp_20260728,True,1.0,1.0,1.0,0.0,72,6,left,time,0.02
exp_20260729,True,0.9520697167755992,0.9442857142857143,0.981118373275236,0.0012882058326544102,78,6,left,time,0.02
exp_20260730,True,0.8753869969040248,0.8747826086956522,0.9295665634674922,0.003985087332421269,72,6,left,time,0.02
exp_20260731,True,1.0,1.0,1.0,0.0,78,7,left,time,0.02
exp_20260715,True,1.0,1.0,1.0,0.0,21,1,left,rgb_time,0.02
exp_20260717,True,1.0,1.0,1.0,0.0,20,1,left,rgb_time,0.02
exp_20260720,True,1.0,1.0,1.0,0.0,21,1,left,rgb_time,0.02
