camera_group,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
left,rgb_time,0.1,0.10022522522522523,0.08445875753168502,balanced_accuracy,1.0,1.0,1.0,9,2
left,rgb_time,0.1,0.10022522522522523,0.08445875753168502,macro_f1,1.0,1.0,1.0,9,2
left,rgb_time,0.1,0.10022522522522523,0.08445875753168502,auroc,1.0,1.0,1.0,9,2
left,rgb_time,0.1,0.10022522522522523,0.08445875753168502,balanced_misclassification_regret,0.0,0.0,0.0,9,2
left_close,rgb,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9209657551120966,0.8788060482877555,0.9606123737373738,11,11
left_close,rgb,0.01,1.0,0.6525923626203043,macro_f1,0.9184218969900164,0.8797397843991374,0.9564826714223681,11,11
left_close,rgb,0.01,1.0,0.6525923626203043,auroc,0.9594938417029373,0.9340670343552395,0.9801671734066615,11,11
left_close,rgb,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.001936475782964104,0.0007351307714284299,0.0033469600357710055,11,11
left_close,time,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9253911061837891,0.8825757575757577,0.9633838383838385,11,11
left_close,time,0.01,1.0,0.6525923626203043,macro_f1,0.9148321384107974,0.8698547187806263,0.9562300907647929,11,11
left_close,time,0.01,1.0,0.6525923626203043,auroc,0.9637752867427665,0.9343644781144781,0.9871040605923735,11,11
left_close,time,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.0017552244278968587,0.0006124673780767356,0.003267981395827925,11,11
left_close,rgb_time,0.01,1.0,0.6525923626203043,balanced_accuracy,0.9212044222714955,0.8782567673688099,0.9611126893939393,11,11
left_close,rgb_time,0.01,1.0,0.6525923626203043,macro_f1,0.9190959416082325,0.8813322128871715,0.9567850660590296,11,11
left_close,rgb_time,0.01,1.0,0.6525923626203043,auroc,0.9694463264077083,0.9467139210533521,0.9870493125701458,11,11
left_close,rgb_time,0.01,1.0,0.6525923626203043,balanced_misclassification_regret,0.001953314676952515,0.0007223969070023909,0.003394006929021896,11,11
left_close,rgb,0.02,0.6568848758465011,0.4821484011176653,balanced_accuracy,0.9363453227749673,0.8843074322599095,0.9793350744103138,11,11
left_close,rgb,0.02,0.6568848758465011,0.4821484011176653,macro_f1,0.9393060793912821,0.8931166796177117,0.9796423974004912,11,11
left_close,rgb,0.02,0.6568848758465011,0.4821484011176653,auroc,0.9821344222504892,0.9648503827450277,0.9960949229402213,11,11
left_close,rgb,0.02,0.6568848758465011,0.4821484011176653,balanced_misclassification_regret,0.002364618568677231,0.0006174997782705318,0.004556399597434344,11,11
left_close,time,0.02,0.6568848758465011,0.4821484011176653,balanced_accuracy,0.967552883061784,0.9354857918712408,0.9956427015250544,11,11
left_close,time,0.02,0.6568848758465011,0.4821484011176653,macro_f1,0.9607524350953844,0.9236508867581381,0.9932190760059613,11,11
left_close,time,0.02,0.6568848758465011,0.4821484011176653,auroc,0.9843377728164824,0.9651286537621622,1.0,11,11
left_close,time,0.02,0.6568848758465011,0.4821484011176653,balanced_misclassification_regret,0.0011714269661407606,0.00015957797518873442,0.002395922347765242,11,11
left_close,rgb_time,0.02,0.6568848758465011,0.4821484011176653,balanced_accuracy,0.9447661418543961,0.8894038063468714,0.9883666385214372,11,11
left_close,rgb_time,0.02,0.6568848758465011,0.4821484011176653,macro_f1,0.9465782651098464,0.8967901846438114,0.9862232944881906,11,11
