regret_threshold,camera_group,split,cost_state,image_count,cycle_count,local_image_count
0.1,top,validation,pre_optimal,288,16,163
0.1,top_close,test,near_optimal,2368,13,1086
0.1,top_close,test,post_optimal,124,1,0
0.1,top_close,test,pre_optimal,319,13,160
0.1,top_close,train,near_optimal,5653,33,3049
0.1,top_close,train,post_optimal,244,4,0
0.1,top_close,train,pre_optimal,692,29,272
0.1,top_close,validation,near_optimal,2087,16,1050
0.1,top_close,validation,pre_optimal,288,16,163
0.1,left,test,near_optimal,2368,13,1086
0.1,left,test,post_optimal,124,1,0
0.1,left,test,pre_optimal,319,13,160
0.1,left,train,near_optimal,5653,33,3049
0.1,left,train,post_optimal,244,4,0
0.1,left,train,pre_optimal,692,29,272
0.1,left,validation,near_optimal,2150,16,1050
0.1,left,validation,pre_optimal,288,16,163
0.1,left_close,test,near_optimal,2368,13,1086
0.1,left_close,test,post_optimal,124,1,0
0.1,left_close,test,pre_optimal,319,13,160
0.1,left_close,train,near_optimal,5653,33,3049
0.1,left_close,train,post_optimal,243,4,0
0.1,left_close,train,pre_optimal,692,29,272
0.1,left_close,validation,near_optimal,2155,16,1050
0.1,left_close,validation,pre_optimal,288,16,163
0.1,front,test,near_optimal,2368,13,1086
0.1,front,test,post_optimal,124,1,0
0.1,front,test,pre_optimal,319,13,160
0.1,front,train,near_optimal,5653,33,3049
0.1,front,train,post_optimal,216,4,0
0.1,front,train,pre_optimal,692,29,272
0.1,front,validation,near_optimal,2064,16,1050
0.1,front,validation,pre_optimal,288,16,163
0.1,extreme,test,near_optimal,2368,13,1086
0.1,extreme,test,post_optimal,124,1,0
0.1,extreme,test,pre_optimal,319,13,160
0.1,extreme,train,near_optimal,5345,30,3048
0.1,extreme,train,post_optimal,98,3,0
0.1,extreme,train,pre_optimal,602,26,272
0.1,extreme,validation,near_optimal,2064,16,1050
0.1,extreme,validation,pre_optimal,288,16,163
0.1,top_pair,test,near_optimal,4736,13,2172
0.1,top_pair,test,post_optimal,248,1,0
0.1,top_pair,test,pre_optimal,638,13,320
0.1,top_pair,train,near_optimal,11307,33,6098
0.1,top_pair,train,post_optimal,485,4,0
0.1,top_pair,train,pre_optimal,1384,29,544
0.1,top_pair,validation,near_optimal,4242,16,2100
0.1,top_pair,validation,pre_optimal,576,16,326
0.1,left_pair,test,near_optimal,4736,13,2172
0.1,left_pair,test,post_optimal,248,1,0
0.1,left_pair,test,pre_optimal,638,13,320
0.1,left_pair,train,near_optimal,11306,33,6098
0.1,left_pair,train,post_optimal,487,4,0
0.1,left_pair,train,pre_optimal,1384,29,544
0.1,left_pair,validation,near_optimal,4305,16,2100
0.1,left_pair,validation,pre_optimal,576,16,326
0.1,all,test,near_optimal,14208,13,6516
0.1,all,test,post_optimal,744,1,0
0.1,all,test,pre_optimal,1914,13,960
0.1,all,train,near_optimal,33611,33,18293
0.1,all,train,post_optimal,1286,4,0
0.1,all,train,pre_optimal,4062,29,1632
0.1,all,validation,near_optimal,12675,16,6300
0.1,all,validation,pre_optimal,1728,16,978
